,text,term,polarity
75,After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,1
76,After really enjoying ourselves at the bar we sat down at a table and had dinner.,table,0
77,After really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,0
78,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,1
79,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,1
80,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",atmosphere,1
81,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment,1
82,Try the lasagnette appetizer.,lasagnette appetizer,1
83,I liked the beer selection!,beer selection,1
84,"Great food, good size menu, great service and an unpretensious setting.",food,1
85,"Great food, good size menu, great service and an unpretensious setting.",menu,1
86,"Great food, good size menu, great service and an unpretensious setting.",service,1
87,"Great food, good size menu, great service and an unpretensious setting.",setting,1
88,Go here for a romantic dinner but not for an all out wow dining experience.,dinner,1
89,Go here for a romantic dinner but not for an all out wow dining experience.,dining,1
90,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Dosa,0
91,Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,1
92,Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,1
93,"With the great variety on the menu , I eat here often and never get bored .",menu,1
94,The menu is very limited - i think we counted 4 or 5 entrees.,menu,-1
95,The menu is very limited - i think we counted 4 or 5 entrees.,entrees,-1
96,The menu is limited but almost all of the dishes are excellent.,menu,-1
97,The menu is limited but almost all of the dishes are excellent.,dishes,1
98,Not too crazy about their sake martini.,sake martini,-1
99,"Great bagels, spreads and a good place to hang out in.",bagels,1
100,"Great bagels, spreads and a good place to hang out in.",spreads,1
102,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,table,0
103,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,1
104,We always have a delicious meal and always leave feeling satisfied.,meal,1
105,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",ingredients,0
106,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",chopsticks,0
107,First went here to enjoy their garden terrace.,garden terrace,1
108,The pizza was pretty good and huge.,pizza,1
109,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",cuisine,0
110,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,1
111,They are often crowded on the weekends but they are efficient and accurate with their service.,service,1
112,They are often crowded on the weekends but they are efficient and accurate with their service.,crowded,-1
113,All my co-workers were amazed at how small the dish was.,dish,-1
114,"The atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere,1
115,"The atmosphere is unheralded, the service impecible, and the food magnificant.",service,1
116,"The atmosphere is unheralded, the service impecible, and the food magnificant.",food,1
117,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,-1
118,"The wait staff is friendly, and the food has gotten better and better!",wait staff,1
119,"The wait staff is friendly, and the food has gotten better and better!",food,1
120,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,1
121,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",French food,1
122,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",packed,-1
123,Right off the L in Brooklyn this is a nice cozy place with good pizza.,pizza,1
124,Right off the L in Brooklyn this is a nice cozy place with good pizza.,place,1
125,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,1
126,I also ordered for delivery and the restaurant forgot half the order.,delivery,-1
127,I also ordered for delivery and the restaurant forgot half the order.,order,-1
128,Our server checked on us maybe twice during the entire meal.,server,-1
129,Our server checked on us maybe twice during the entire meal.,meal,0
130,The strong scents coming from the left and right of me negatively affected my taste buds.,scents,-1
131,We had the lobster sandwich and it was FANTASTIC.,lobster sandwich,1
132,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,-1
134,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,1
135,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",shell crab,1
136,Deep Fried Skewers are good and still rare to find in NYC.,Deep Fried Skewers,1
137,"I have tried to make reservations, but both times, the hostess didn't have my name.",reservations,0
138,"I have tried to make reservations, but both times, the hostess didn't have my name.",hostess,-1
139,I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,1
140,I also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),1
141,Their tuna tartar appetizer is to die for.,tuna tartar appetizer,1
143,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",chef,1
144,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",fish dishes,1
145,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",soups,1
146,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",kitchen,1
147,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",cuisine,1
148,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",wine,1
149,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",french fare,1
150,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",cheese,1
151,I love Indian food and consider myself to be quite an expert on it.,Indian food,1
152,Some baby pizzas get their wish.,baby pizzas,0
153,Overall A oh ya even though there is waiting it is deff worth it,waiting,-1
154,The lava cake dessert was incredible and I recommend it.,lava cake dessert,1
155,VT is what baby pizzas hope to be when they grow up.,baby pizzas,0
156,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,-1
157,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food,-1
158,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",managers,-1
159,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,1
160,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,1
161,The last time I went we were seated at a table in a corridor next to the kitchen.,table,-1
162,good selection of wines ranging from affordable to high end.,selection of wines,1
163,"Nice restaurant overall, with classic upscale Italian decor.",Italian decor,1
164,Not impressed with the food.,food,-1
165,The entire dining experience was wonderful!,dining experience,1
166,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,wine selection,1
167,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,reservation,0
168,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,Service,1
169,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,maitre,1
170,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation,-1
171,"Order the panang duck, it's fantastic.",panang duck,1
173,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",raw vegatables,-1
174,"Other than the crappy service from two individuals, it's great.",service,-1
175,They have authentic Indian at amazin prices.,Indian,1
176,They have authentic Indian at amazin prices.,prices,1
177,Ambiance- relaxed and stylish.,Ambiance,1
178,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",BBQ Salmon,1
179,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Sea Bass,1
180,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Crispy Duck,1
181,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,1
182,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,1
183,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,-1
184,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,0
185,and yes Dal Bukhara is so dam good and so are all the kababs.,kababs,1
186,and yes Dal Bukhara is so dam good and so are all the kababs.,Dal Bukhara,1
187,I look forward to eating here again,eating,1
188,I've been coming here as a child and always come back for the taste.,taste,1
189,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,meal,1
190,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,1
191,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of prosecco,1
192,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",mussels,1
193,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of Leaping Lizard,1
194,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",Food,0
195,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",creme brulee,-1
196,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",sugar,-1
197,The food always tastes fresh and served promptly.,food,1
198,The food always tastes fresh and served promptly.,served,1
199,The pizza here is delicious.,pizza,1
200,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",Pizza,1
201,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",delivery,1
202,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",garlic knots,1
203,"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",chinese food,1
204,But who says Murray's is anything about service.,service,0
205,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",food,-1
206,Hats off to the chef.,chef,1
207,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",Service,-1
208,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",teapot,1
209,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",pizza,1
210,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",fresh mozzarella,1
211,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",cheese,-1
212,Its an excellent place to relax and the food is one of the best in the city of New York.,place,1
213,Its an excellent place to relax and the food is one of the best in the city of New York.,food,1
214,"service is friendly, and never had a problem walking in and getting a table.",service,1
215,"service is friendly, and never had a problem walking in and getting a table.",getting a table,1
217,The atmosphere was crowded but it was a great bistro-type vibe.,bistro-type vibe,1
218,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",waitress,-1
219,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",tables,0
220,The food was bland oily.,food,-1
221,"What is even better, is that the prices are very affordable as well, and the food is really good.",prices,1
222,"What is even better, is that the prices are very affordable as well, and the food is really good.",food,1
223,The fish is fresh but the variety of fish is nothing out of ordinary.,fish,1
224,The fish is fresh but the variety of fish is nothing out of ordinary.,variety of fish,-1
225,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",pesto pizza,1
226,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",house salad,1
227,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",bottle of wine,1
228,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",meal,1
229,"And Kruno, the beverage manager is the best bartender I have yet to come across.",bartender,1
230,"And Kruno, the beverage manager is the best bartender I have yet to come across.",beverage manager,1
231,"Ambiance and music funky, which I enjoy.",Ambiance,1
232,"Ambiance and music funky, which I enjoy.",music,1
233,"The food, drinks and service are clearly among the best in the city.",food,1
234,"The food, drinks and service are clearly among the best in the city.",drinks,1
235,"The food, drinks and service are clearly among the best in the city.",service,1
236,I went there in late afternoon for some bite size food and refleshment with my date.,food,0
237,I went there in late afternoon for some bite size food and refleshment with my date.,refleshment,0
238,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",ambiance,1
239,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",service,1
240,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",foods,1
241,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",tastes,1
242,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",sommlier,1
243,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",captain,1
244,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",back waiters,1
245,"Last time I went here, the waitress didn't come back after taking our order.",waitress,-1
246,Try the tandoori salmon!,tandoori salmon,1
247,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",atmosphere,1
248,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",space,-1
249,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",service,1
250,I love the atmorphere @ peep!,atmorphere,1
251,The service was attentive and her suggestions of menu items was right on the mark.,service,1
252,The service was attentive and her suggestions of menu items was right on the mark.,menu items,1
253,The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,three course meal,1
254,"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!",Pizza,1
255,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",environment,1
256,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",food,-1
257,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",service,-1
258,"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",crawfish boiled,1
259,I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,reservation,0
260,What came to our table was burned beyond recognition and stringy.,table,0
261,I had the Pad Thai and the noodles were sticky.,Pad Thai,-1
262,I had the Pad Thai and the noodles were sticky.,noodles,-1
263,"So I've never actually been to M proper, but I've had it delivered a few times.",delivered,0
264,"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",values for your money,1
265,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",lunch,1
266,The hostess is rude to the point of being offensive.,hostess,-1
267,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",food,1
268,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",wait building,-1
269,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",corridor,-1
270,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",space,-1
271,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",counters,-1
272,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",counter,-1
273,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",entrees,0
274,The food is great.,food,1
275,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,steaks,1
276,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,salads,1
277,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,sides,1
278,"Lunch came with pickels and slaw, no extra charge.",Lunch,1
279,"Lunch came with pickels and slaw, no extra charge.",pickels and slaw,0
280,Decent wine at reasonable prices.,wine,1
281,Decent wine at reasonable prices.,prices,1
282,All conveniently delivered right to the door.,delivered,1
283,even the wine by the glass was good.,wine by the glass,1
284,would have rather tried terrace in the sky or water club for that price,price,-1
285,This dish is my favorite and I always get it when I go there and never get tired of it.,dish,1
286,"I also ordered the Change Mojito, which was out of this world.",Change Mojito,1
287,Okay service.,service,0
288,The only thing more wonderful than the food (which is exceptional) is the service.,food,1
289,The only thing more wonderful than the food (which is exceptional) is the service.,service,1
290,"The food was just awful, ATROCIOUS actually.",food,-1
291,The soup for the udon was soy sauce and water.,soup for the udon,-1
292,The soup for the udon was soy sauce and water.,soy sauce,0
293,The soup for the udon was soy sauce and water.,water,0
294,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",anti-pasta,1
295,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",calamari,1
296,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",filling pasta mains,1
297,The waitress suggested glasses of wine that went very well with the food.,waitress,1
298,The waitress suggested glasses of wine that went very well with the food.,food,0
299,The waitress suggested glasses of wine that went very well with the food.,glasses of wine,1
300,"They might be all business at the counter when you give your order, but their food says I love you.",food,1
301,"They might be all business at the counter when you give your order, but their food says I love you.",counter,-1
302,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sushi,1
303,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",ceviche mix (special),1
304,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",crab dumplings,1
305,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",assorted sashimi,1
306,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sushi,1
307,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",rolls,1
308,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sake,1
309,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",banana tempura,1
310,Try their plain pizza with fresh garlic or eggplant.,plain pizza,1
311,Try their plain pizza with fresh garlic or eggplant.,garlic,1
312,Try their plain pizza with fresh garlic or eggplant.,eggplant,1
313,"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.",servers,-1
315,Good luck getting a table.,getting a table,-1
316,The service is awful.,service,-1
317,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",takeout menu,1
318,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",menu,1
319,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",italian dishes,1
320,"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",Thai food,0
321,Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.,hostess,1
322,The pizza is good though.,pizza,1
323,bottles of wine are cheap and good.,bottles of wine,1
324,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",beers,1
325,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",food,1
326,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",pumkin tortelini,1
327,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",dish,1
328,They didn't give us the dinner special until we asked for it.,dinner special,-1
329,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,crabmeat lasagna,1
330,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,chocolate bread pudding,1
331,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,dessert,1
332,"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.",pasta dishes,1
333,"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.",tiramisu,1
334,Very good service and very good prices.,service,1
335,Very good service and very good prices.,prices,1
336,I recently went to this restaurant with some co-workers for lunch and had an amazing time.,lunch,0
