,text,term,polarity
65,还行 ~~~~~~~~~~~~~~~~~~~~~~~~,NAN,好评
66,老师讲的很详细！ 真是从入门到精通C++,NAN,好评
67,开创性1+1=2教学，讲解的挺细致的，期待后面内容,NAN,好评
68,很好，很详细，讲解得很细致，拓展也足够了,NAN,好评
69,讲得非常详细，对于完全掌握c++有很大的帮助,NAN,好评
70,"老师讲的很不错，从入门到""精通""C++",NAN,好评
71,将的很不错，很适合补充自己的,NAN,好评
72,讲的比较深入，能较好地巩固自己的知识,NAN,好评
73,讲的非常好，希望出新的课程,NAN,好评
74,老师讲的不错，期待更多的新课,NAN,好评
75,整体来说讲的还行，补充了不少知识,NAN,好评
76,很好，很多是书里面没有的，通俗易懂,NAN,好评
77,讲得很底层，所以很大部分感觉是C,NAN,好评
78,非常细致，老师的功力很深厚,NAN,好评
79,还不错，努力学习ing,NAN,好评
80,老师讲解很细致，需要提升内功！,NAN,好评
81,讲的挺好的，比较细致,NAN,好评
82,推荐学过c语言再来学习,NAN,好评
83,老师讲的很好，容易懂,NAN,好评
84,老师讲的很细，比看书好太多,NAN,好评
85,还不错哦。。。。可以一学,NAN,好评
86,老师讲得很好，收获很多~,NAN,好评
87,讲的清晰，后面的章节什么时候上？,NAN,好评
88,刚开始听，老师讲的非常详细,NAN,好评
89,比较基础，非常细致。,NAN,好评
90,目前在看基础课，还行,NAN,好评
91,对原有知识是很好的补充,NAN,好评
92,非常实用，讲的很透彻,NAN,好评
93,老师讲的非常好，望尽快更新,NAN,好评
94,都是干货，值得好好学习一下，,NAN,好评
95,0基础表示还行，能跟上,NAN,好评
96,老师讲得很细心，很仔细～,NAN,好评
97,我觉得讲的很好，给个赞,NAN,好评
98,老师讲的知识易懂，内容也很丰富。,NAN,好评
99,讲得非常详细，重实战的好课，推荐学习,NAN,好评
